CODBAR|nombre_producto|CANTIDA|ULTIMO_MOVIMIENTO
COD_BAR|PRODUCTO200ML|15|20240606
COD_BAR1|PRODUCTO200ML|1|20240606
COD_BAR|PRODUCTO200ML|15|20240606
COD_BAR1|PRODUCTO200ML|1|20240606
COD_BAR|PRODUCTO200ML|15|20240606
COD_BAR1|PRODUCTO200ML|1|20240606
COD_BAR|PRODUCTO200ML|15|20240606
COD_BAR1|PRODUCTO200ML|1|20240606
COD_BAR|PRODUCTO200ML|15|20240606
COD_BAR1|PRODUCTO200ML|1|20240606
COD_BAR|PRODUCTO200ML|15|20240606
COD_BAR1|PRODUCTO200ML|1|20240606
COD_BAR|PRODUCTO200ML|15|20240606
COD_BAR1|PRODUCTO200ML|1|20240606
COD_BAR|PRODUCTO200ML|15|20240606
COD_BAR1|PRODUCTO200ML|1|20240606
COD_BAR|PRODUCTO200ML|15|20240606
COD_BAR1|PRODUCTO200ML|1|20240606
COD_BAR|PRODUCTO200ML|15|20240606
COD_BAR1|PRODUCTO200ML|1|20240606
