_00_ID|_01_PRODUCTO|_02_CONTENIDO|_03_TIPO_MEDIDA|_04_PRECIO_VENTA|_05_COD_BARRAS|_06_CANTIDAD|_07_COSTO_COMP|_08_PROVEDOR|_09_GRUPO|_10_CANT_X_PAQUET|_11_ES_PAQUETE|_12_CODBAR_PAQUETE|_13_COD_BAR_INDIVIDUAL_ES_PAQ|_14_LIGAR_PROD_SAB|_15_IMPUESTOS|_16_INGREDIENTES|_17_CADUCIDAD|_18_ULTIMO_MOV|_19_SUCUR_VENT|_20_CLAF_PROD|_21_DIR_IMG_INTER|_22_DIR_IMG_COMP|_23_INFO_EXTRA|_24_PROCESO_CREAR|_25_DIR_VID_PROC_CREAR|_26_NO_PONER_NADA
1|PECHUGA RELLENA|0|NOSE|84|1|998|70|PROVEDOR1¬42°PROV¬PROV|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024092819|2024092821|SUC1|0|https://i.ibb.co/tY5BBVm/10.jpg|NOSE|NOSE|NOSE|NOSE|
2|BISTEC ASADO|0|NOSE|70|2|1000|200|PROVEDOR1¬43|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC2|0|https://i.ibb.co/TBnNC4s/bistec-asado.jpg|NOSE|NOSE|NOSE|NOSE|
3|PECHUGA ASADA|0|NOSE|70|3|1000|200|PROVEDOR1¬44|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC3|0|https://i.ibb.co/rcQw4Kj/pechuga-asada.jpg|NOSE|NOSE|NOSE|NOSE|
4|DESAYUNO TARDE CLUB SANWICH|0|NOSE|50|4|1000|200|PROVEDOR1¬45|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC4|0|https://i.ibb.co/BG1bq0m/24.jpg|NOSE|NOSE|NOSE|NOSE|
5|DESAYUNO HUEVO A LA MEXICANA|0|NOSE|40|5|1000|200|PROVEDOR1¬46|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC5|0|https://i.ibb.co/Y0rSjrt/4-huevo-a-la-mexicana.jpg|NOSE|NOSE|NOSE|NOSE|
6|DESAYUNO HUEVO RANCHERO|0|NOSE|35|6|1000|200|PROVEDOR1¬47|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC6|0|https://i.ibb.co/rFzmPGh/5-huevo-ranchero.jpg|NOSE|NOSE|NOSE|NOSE|
7|DESAYUNO HUEVO MOTULEÑO|0|NOSE|50|7|1000|200|PROVEDOR1¬48|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC7|0|https://i.ibb.co/Z8zrsyV/6-huevo-motule-o.jpg|NOSE|NOSE|NOSE|NOSE|
8|DESAYUNO HUEVO ESTRELLADO|0|NOSE|30|8|1000|200|PROVEDOR1¬49|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC8|0|https://i.ibb.co/sR2MCp8/7-huevos-estrellados.jpg|NOSE|NOSE|NOSE|NOSE|
9|DESAYUNO OMELET|0|NOSE|40|9|1000|200|PROVEDOR1¬50|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC9|0|https://i.ibb.co/wJG7Rp2/8-omelet.jpg|NOSE|NOSE|NOSE|NOSE|
10|DESAYUNO HUEVO DIVORCIADOS|0|NOSE|50|10|1000|200|PROVEDOR1¬51|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC10|0|https://i.ibb.co/VBC1fLd/9-huevos-divorciados.jpg|NOSE|NOSE|NOSE|NOSE|
11|TARDE PECHUGA EMPANIZADA|0|NOSE|50|11|1000|200|PROVEDOR1¬52|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC11|0|https://i.ibb.co/61x0s7d/10-p3chuga-empanizada.jpg|NOSE|NOSE|NOSE|NOSE|
12|DESAYUNO CHILAQUILES|0|NOSE|50|12|1000|200|PROVEDOR1¬53|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC12|0|https://i.ibb.co/NsKLcgb/11-chilaquiles.jpg|NOSE|NOSE|NOSE|NOSE|
13|DESAYUNO ENCHILADAS SUISAS|0|NOSE|50|13|1000|200|PROVEDOR1¬54|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC13|0|https://i.ibb.co/1Zrjpdw/9.jpg|NOSE|NOSE|NOSE|NOSE|
14|DESAYUNO ENMOLADAS|0|NOSE|50|14|1000|200|PROVEDOR1¬55|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC14|0|https://i.ibb.co/QPrX4bD/12-enmoladas.jpg|NOSE|NOSE|NOSE|NOSE|
15|DESAYUNO TACOS DORADOS|0|NOSE|40|15|1000|200|PROVEDOR1¬56|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC15|0|https://i.ibb.co/dj1wQT2/13-tacos-dorados.jpg|NOSE|NOSE|NOSE|NOSE|
16|DESAYUNO HOTCAKES|0|NOSE|40|16|1000|200|PROVEDOR1¬57|PRODUCTO_ELABORADO|0|INDIVIDUAL|NOSE|NOSE|NOSE|IVA|NOSE|2024090412|2024090412|SUC16|0|https://i.ibb.co/VjGTqQ9/15-hotkakes.jpg|NOSE|NOSE|NOSE|NOSE|
